http://www.pro-football-reference.com/boxscores/201510250mia.htm,,,,,,,points,points,expected points before the play,expected points after the play,home team win %,
Quarter,Time,Down,ToGo,Location,Yard Line,Detail,HTX,MIA,EPB,EPA,Win%,
1,0:19,2,7,MIA 34,34,Ryan Tannehill pass complete short right to Rishard Matthews for 10 yards (tackle by Johnathan Joseph),0,21,0.87,1.86,98.8,1.2
Quarter,Time,Down,ToGo,Location,,Detail,HTX,MIA,EPB,EPA,Win%,
,,,,,,,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,
2,15:00,1,10,MIA 44,44,Lamar Miller right guard for 2 yards (tackle by Jadeveon Clowney),0,21,1.86,1.59,98.7,
2,14:23,2,8,MIA 46,46,Ryan Tannehill pass complete short left to Lamar Miller for 54 yards touchdown,0,27,1.59,7,99.6,
2,14:23,,,MIA 46,46,Andrew Franks kicks extra point good,0,28,0,0,99.7,
2,14:23,,,MIA 35,35,Andrew Franks kicks off 65 yards touchback,0,28,0,-0.28,99.6,
2,14:10,1,10,HTX 20,20,Brian Hoyer pass incomplete short right intended for C.J. Fiedorowicz,0,28,0.28,-0.27,99.7,
2,14:03,2,10,HTX 20,20,Brian Hoyer pass incomplete short left intended for C.J. Fiedorowicz is intercepted by Reshad Jones at HOU-23 and returned for 23 yards touchdown,0,34,-0.27,-7,99.9,
2,13:56,,,HTX 20,20,Andrew Franks kicks extra point good,0,35,0,0,99.9,
2,13:56,,,MIA 35,35,Andrew Franks kicks off 67 yards returned by Keith Mumphery for 25 yards (tackle by Bobby McCain),0,35,0,-0.48,99.9,
2,13:51,1,10,HTX 23,23,Arian Foster right guard for 4 yards (tackle by Jamar Taylor),0,35,0.48,0.47,99.9,
2,13:21,2,6,HTX 27,27,Brian Hoyer sacked by Cameron Wake for -6 yards. Brian Hoyer fumbles (forced by Cameron Wake) recovered by Brian Hoyer at HOU-26,0,35,0.47,-0.36,99.9,
2,12:34,3,7,HTX 26,26,Brian Hoyer pass incomplete short left intended for Nate Washington,0,35,-0.36,-1.63,99.9,
2,12:26,4,7,HTX 26,26,Shane Lechler punts 52 yards returned by Jarvis Landry for 4 yards (tackle by Charles James),0,35,-1.63,-0.67,99.9,
2,12:17,1,10,MIA 26,26,Lamar Miller right tackle for 1 yard (tackle by J.J. Watt),0,35,0.67,0.27,99.9,
2,11:41,2,9,MIA 27,27,Ryan Tannehill pass complete short middle to Rishard Matthews for 12 yards (tackle by John Simon),0,35,0.27,1.53,99.9,
2,11:03,1,10,MIA 39,39,Lamar Miller middle for 7 yards (tackle by John Simon),0,35,1.53,1.93,99.9,
2,10:20,2,3,MIA 46,46,Jarvis Landry right end for 5 yards (tackle by John Simon),0,35,1.93,2.32,99.9,
2,9:43,1,10,HTX 49,49,Ryan Tannehill pass incomplete. Penalty on Andre Hal: Illegal Contact 5 yards (no play),0,35,2.32,2.65,99.9,
2,9:36,1,10,HTX 44,44,Lamar Miller right end for 5 yards (tackle by Akeem Dent),0,35,2.65,2.78,99.9,
2,9:04,2,5,HTX 39,39,Ryan Tannehill sacked by John Simon for -8 yards. Penalty on MIA: Illegal Shift (Declined),0,35,2.78,1.03,99.9,
2,8:30,3,13,HTX 47,47,Ryan Tannehill pass complete short right to Lamar Miller for 6 yards (tackle by Johnathan Joseph),0,35,1.03,0.53,99.9,
2,8:15,4,7,HTX 41,41,Matt Darr punts 41 yards touchback. Penalty on MIA: Illegal Formation 5 yards,0,35,0.53,-0.61,99.9,
2,8:06,1,10,HTX 25,25,Brian Hoyer pass incomplete short middle intended for DeAndre Hopkins (defended by Ndamukong Suh),0,35,0.61,0.06,99.9,
2,7:59,2,10,HTX 25,25,Brian Hoyer pass complete short right to Nate Washington for 10 yards (tackle by Jamar Taylor),0,35,0.06,1.27,99.9,
2,7:44,1,10,HTX 35,35,Arian Foster right guard for no gain (tackle by Ndamukong Suh),0,35,1.27,0.72,99.9,
2,7:10,2,10,HTX 35,35,Brian Hoyer pass complete short left to DeAndre Hopkins for 10 yards,0,35,0.72,1.93,99.9,
2,7:10,1,10,HTX 45,45,Arian Foster left end for 3 yards (tackle by Earl Mitchell),0,35,1.93,1.79,99.9,
2,6:41,2,7,HTX 48,48,Brian Hoyer pass complete short left to DeAndre Hopkins for 8 yards (tackle by Reshad Jones),0,35,1.79,2.65,99.9,
2,6:10,1,10,MIA 44,44,Brian Hoyer pass incomplete short left intended for Chris Polk,0,35,2.65,2.11,99.9,
2,6:02,2,10,MIA 44,44,Arian Foster left guard for 11 yards (tackle by Reshad Jones),0,35,2.11,3.38,99.9,
2,5:39,1,10,MIA 33,33,Brian Hoyer pass incomplete short left intended for Keith Mumphery,0,35,3.38,2.84,99.9,
2,5:35,2,10,MIA 33,33,Chris Polk left tackle for 2 yards (tackle by Reshad Jones),0,35,2.84,2.41,99.9,
2,4:58,3,8,MIA 31,31,Brian Hoyer pass complete short right to Nate Washington for 15 yards (tackle by Reshad Jones),0,35,2.41,4.51,99.9,
2,4:23,1,10,MIA 16,16,Brian Hoyer pass incomplete short middle intended for Garrett Graham (defended by Bobby McCain),0,35,4.51,3.9,99.9,
2,4:17,2,10,MIA 16,16,Brian Hoyer pass incomplete short middle intended for Garrett Graham (defended by Reshad Jones),0,35,3.9,3.08,99.9,
